amount_usd,currency,merchant_name,country,log_amount,velocity_10m,high_value,very_high_value,suspicious_merchant,off_hours,new_device,ip_risk,non_ng_context,is_risky
29.08,EUR,Spotify,NG,3.4038,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
6099.82,GBP,Apple,NG,8.7162,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1
23.11,GBP,Spotify,NG,3.1828,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
1962.61,GBP,Stripe Demo Store,NG,7.5825,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0
7.3,GBP,Spotify,US,2.1166,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1
30.55,EUR,Shopify Merchant,CN,3.4516,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
20.69,USD,Spotify,NG,3.0767,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
4341.97,EUR,Apple,NG,8.3763,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1
49.13,EUR,Netflix,US,3.9146,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1
7.39,GBP,Netflix,NG,2.1274,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
63.49,EUR,Shopify Merchant,NG,4.1665,3.0,0.0,0.0,0.0,0.0,1.0,0.45,0.0,1
19.77,GBP,Spotify,NG,3.0337,1.0,0.0,0.0,0.0,0.0,1.0,0.45,0.0,0
25.08,USD,Shopify Merchant,NG,3.2614,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
15.23,EUR,Amazon,NG,2.7871,4.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1
6.25,EUR,Shopify Merchant,CN,1.9814,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1
1474.36,EUR,Netflix,NG,7.2967,2.0,1.0,0.0,0.0,1.0,1.0,0.45,0.0,1
1489.07,USD,Apple,NG,7.3066,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
32.24,USD,Netflix,DE,3.5039,6.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0
17.49,USD,Spotify,NG,2.917,6.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1
5.0,EUR,Stripe Demo Store,DE,1.7918,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1
6.83,EUR,Gambling Anonymous Hub,US,2.0575,3.0,0.0,0.0,1.0,1.0,1.0,0.45,1.0,0
84.47,USD,Stripe Demo Store,NG,4.4482,5.0,0.0,0.0,0.0,0.0,1.0,0.45,0.0,1
9.35,GBP,Netflix,CN,2.3368,6.0,0.0,0.0,0.0,0.0,1.0,0.45,1.0,1
958.25,EUR,Netflix,NG,6.8661,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1
1155.07,EUR,Gambling Anonymous Hub,NG,7.0528,10.0,1.0,0.0,1.0,0.0,0.0,0.45,0.0,1
17.68,EUR,Spotify,NG,2.9273,3.0,0.0,0.0,0.0,1.0,0.0,0.45,0.0,1
1550.69,USD,Spotify,NG,7.3471,2.0,1.0,0.0,0.0,0.0,0.0,0.45,0.0,1
11.31,USD,Shopify Merchant,RU,2.5106,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0
61.22,USD,Spotify,NG,4.1308,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
21.18,GBP,Netflix,NG,3.0991,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
27.73,EUR,Apple,NG,3.358,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1
1807.44,GBP,Spotify,NG,7.5002,1.0,1.0,0.0,0.0,0.0,1.0,0.45,0.0,1
2354.62,USD,Apple,NG,7.7646,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1
60.65,EUR,Stripe Demo Store,NG,4.1215,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1
5053.58,GBP,Anonymous Crypto Mix,NG,8.5281,2.0,1.0,1.0,1.0,0.0,1.0,0.45,0.0,0
67.41,GBP,Netflix,NG,4.2255,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1
13.09,EUR,Stripe Demo Store,NG,2.6455,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
34.29,EUR,Amazon,NG,3.5636,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1
6007.7,GBP,Shopify Merchant,NG,8.701,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1
9.51,EUR,Amazon,RU,2.352,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
23.33,USD,Dark Web Market,NG,3.1916,2.0,0.0,0.0,1.0,0.0,1.0,0.45,0.0,1
20.19,GBP,Stripe Demo Store,NG,3.0535,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1
6215.84,USD,Stripe Demo Store,NG,8.735,3.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1
1525.05,USD,Apple,NG,7.3304,3.0,1.0,0.0,0.0,0.0,0.0,0.45,0.0,1
1244.64,GBP,Amazon,NG,7.1274,1.0,1.0,0.0,0.0,0.0,1.0,0.45,0.0,1
983.86,GBP,Stripe Demo Store,CN,6.8925,1.0,1.0,0.0,0.0,0.0,1.0,0.45,1.0,1
1935.11,EUR,Netflix,NG,7.5684,5.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1
18.86,USD,Netflix,NG,2.9887,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
15.53,GBP,Shopify Merchant,NG,2.805,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
1258.28,GBP,Dark Web Market,NG,7.1383,2.0,1.0,0.0,1.0,0.0,0.0,0.45,0.0,1
12.8,USD,Stripe Demo Store,NG,2.6245,2.0,0.0,0.0,0.0,0.0,0.0,0.45,0.0,0
128.99,USD,Apple,NG,4.8675,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
7.49,USD,XXX Test Casino,NG,2.1388,1.0,0.0,0.0,1.0,0.0,1.0,0.45,0.0,1
2023.18,USD,Netflix,NG,7.6129,2.0,1.0,0.0,0.0,0.0,0.0,0.45,0.0,1
14.1,USD,Stripe Demo Store,NG,2.7145,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
8025.36,USD,Amazon,US,8.9905,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1
7.97,USD,Shopify Merchant,NG,2.1941,4.0,0.0,0.0,0.0,0.0,0.0,0.45,0.0,0
27.06,USD,Apple,RU,3.3344,10.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1
2217.45,GBP,Apple,NG,7.7046,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1
25.37,GBP,Spotify,NG,3.2722,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1
47.72,GBP,Netflix,NG,3.8862,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
47.04,GBP,Netflix,DE,3.8721,1.0,0.0,0.0,0.0,0.0,0.0,0.45,1.0,0
885.14,GBP,Apple,NG,6.7869,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1
23.01,GBP,Dark Web Market,NG,3.1784,3.0,0.0,0.0,1.0,1.0,0.0,0.45,0.0,1
5.45,EUR,Apple,NG,1.8637,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
992.38,USD,Gambling Anonymous Hub,US,6.9011,3.0,1.0,0.0,1.0,0.0,1.0,0.45,1.0,0
6355.2,USD,Netflix,CN,8.7572,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1
17.63,GBP,Netflix,RU,2.9247,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0
6.17,GBP,Amazon,NG,1.9704,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
26.67,USD,Spotify,NG,3.3202,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1
6.13,EUR,Amazon,NG,1.9636,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
22.28,EUR,Amazon,NG,3.1477,4.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1
8.51,EUR,Apple,NG,2.2525,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1
11.08,EUR,Spotify,NG,2.4917,1.0,0.0,0.0,0.0,0.0,0.0,0.45,0.0,0
45.07,USD,Netflix,NG,3.8303,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
30.31,USD,Stripe Demo Store,NG,3.444,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
44.9,USD,Netflix,NG,3.8265,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
59.85,USD,Anonymous Crypto Mix,RU,4.1084,1.0,0.0,0.0,1.0,0.0,0.0,0.45,1.0,1
619.55,USD,Stripe Demo Store,DE,6.4306,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1
57.36,GBP,Stripe Demo Store,NG,4.0666,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
1590.56,USD,Amazon,RU,7.3725,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1
33.86,EUR,Apple,RU,3.5514,5.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1
14.22,GBP,Apple,DE,2.7226,2.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1
4518.77,GBP,Spotify,NG,8.4162,2.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1
30.88,EUR,Apple,NG,3.462,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
38.92,USD,Netflix,CN,3.6868,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1
38.12,USD,Amazon,NG,3.6666,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
23.35,USD,Shopify Merchant,NG,3.1923,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
3394.1,USD,Shopify Merchant,NG,8.1301,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0
29.04,USD,Netflix,NG,3.4027,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
3558.51,EUR,Shopify Merchant,NG,8.1774,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1
29.34,GBP,Spotify,NG,3.4125,4.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1
23.17,EUR,Netflix,NG,3.1851,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
36.23,GBP,Apple,NG,3.6172,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
6.43,GBP,Shopify Merchant,RU,2.0055,1.0,0.0,0.0,0.0,0.0,0.0,0.45,1.0,1
18.32,USD,Stripe Demo Store,NG,2.9613,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
7.62,USD,Apple,NG,2.1546,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1
8309.28,EUR,Apple,NG,9.0252,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1
63.39,EUR,Shopify Merchant,NG,4.165,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1
8515.05,GBP,Netflix,NG,9.0497,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1
1488.09,EUR,Spotify,US,7.3059,5.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1
34.11,GBP,Stripe Demo Store,NG,3.5584,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1208.46,USD,Wallet Drain Services,NG,7.0979,8.0,1.0,0.0,1.0,1.0,1.0,0.45,0.0,1
13.94,EUR,Netflix,NG,2.7038,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
25.92,GBP,Apple,NG,3.293,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1
2389.74,USD,Netflix,NG,7.7794,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0
1192.64,GBP,Shopify Merchant,NG,7.0848,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1
43.41,EUR,Spotify,NG,3.7934,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1
40.53,EUR,Apple,DE,3.7265,2.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1
26.1,USD,Gambling Anonymous Hub,NG,3.2996,5.0,0.0,0.0,1.0,0.0,1.0,0.45,0.0,1
638.91,EUR,Apple,NG,6.4613,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1
